,time_zone,name,coordinates,code,country_code
263,Africa/Libreville,Port Gentil,"{'lon': 8.753584, 'lat': -0.719964}",POG,GA
264,Asia/Shanghai,Xian,"{'lon': 108.75874, 'lat': 34.44104}",SIA,CN
265,America/Chicago,New Orleans,"{'lon': -90.0705556, 'lat': 29.9647222}",MSY,US
266,America/Panama,San Blas,"{'lon': -79.0, 'lat': 9.3}",NBL,PA
267,Australia/Perth,Cherrabun,"{'lon': 125.55, 'lat': -18.916668}",CBC,AU
268,America/Tegucigalpa,Cauquira,"{'lon': -83.602776, 'lat': 15.322222}",CDD,HN
269,Europe/Paris,Lille,"{'lon': 3.057256, 'lat': 50.62925}",LIL,FR
270,Asia/Almaty,Petropavlovsk,"{'lon': 69.183334, 'lat': 54.783333}",PPK,KZ
271,Asia/Kolkata,Latur,"{'lon': 76.46629, 'lat': 18.409552}",LTU,IN
272,Europe/Paris,Paris,"{'lon': 2.3522219, 'lat': 48.856614}",PAR,FR
273,America/Sao_Paulo,Cachoeiro Itapemirim,"{'lon': -41.186943, 'lat': -20.836111}",CDI,BR
274,Asia/Jayapura,Bandanaira,"{'lon': 129.9, 'lat': -4.533333}",NDA,ID
275,Asia/Makassar,Poso,"{'lon': 120.73333, 'lat': -1.383333}",PSJ,ID
276,Australia/Melbourne,Melbourne,"{'lon': 144.9629796, 'lat': -37.8131869}",MEL,AU
277,Europe/Helsinki,Levi,,XGX,FI
278,America/Denver,Pine Ridge,"{'lon': -102.51667, 'lat': 43.016666}",XPR,US
279,Asia/Taipei,Hsinchu,"{'lon': 120.933334, 'lat': 24.816668}",HSZ,TW
280,America/Mazatlan,Abreojos,"{'lon': -113.666664, 'lat': 26.833332}",AJS,MX
281,America/Toronto,London,"{'lon': -81.251, 'lat': 42.987}",YXU,CA
282,America/Anchorage,West Kuparuk,"{'lon': -149.33333, 'lat': 70.333336}",XPU,US
283,America/Chicago,Hugo,"{'lon': -95.51667, 'lat': 34.016666}",HUJ,US
284,Australia/Brisbane,Cairns,"{'lon': 145.75404, 'lat': -16.876537}",CNS,AU
285,Pacific/Port_Moresby,Boridi,"{'lon': 147.53334, 'lat': -9.133333}",BPB,PG
286,Asia/Manila,Siocon,"{'lon': 122.15, 'lat': 7.7}",XSO,PH
287,Asia/Kolkata,Bengaluru,"{'lon': 77.70556, 'lat': 13.198889}",BLR,IN
288,Africa/Algiers,Chlef,"{'lon': 1.331667, 'lat': 36.212223}",CFK,DZ
289,Europe/Paris,Hazebrouck,"{'lon': 2.65, 'lat': 50.61667}",HZB,FR
290,America/Whitehorse,Ross River,"{'lon': -132.45, 'lat': 61.983334}",XRR,CA
291,America/Los_Angeles,Marysville,"{'lon': -121.5913547, 'lat': 39.1457253}",MYV,US
